"Ders Kodu

Course Code","Ders Adı

Course Name","Dönem

Term","Yıl

Year","Kalan Öğrenci Sayısı

Fail","Geçen Öğrenci Sayısı

Pass","Ön Koşul Ders(ler)ini Geçen Öğrenci Sayısı

Prerequisite Pass","Hazırlık Okulunu Geçip Derse Kayıt Olabilecek Öğrenci Sayısı

Prep School Pass","Önceki Notunu Yükseltmek için Dersi Alan Öğrenci Sayısı

Raise Grades","Not Ortalamasını Yükseltmek için Dersi Alan Öğrenci Sayısı

Increase GPA","Dersi Alan Yan / Çift Anadal Öğrencilerin Sayısı

Minor / Double Major","Ders Kayıtlı Öğrenci Sayısı

Enrolled Students","Gelecek Dönem Dersi Alacak Öğrenci Sayısı Tahmini

Future Enroll"
CMPE114,Computer Programming II,Fall,2003,28,100,95,0,8,9,0,128,
CMPE114,Computer Programming II,Spring,2004,40,99,95,0,9,12,1,139,
CMPE114,Computer Programming II,Summer,2004,0,0,0,0,0,0,0,0,
CMPE114,Computer Programming II,Fall,2004,25,94,96,0,7,8,1,119,
CMPE114,Computer Programming II,Spring,2005,27,95,99,0,5,9,3,122,
CMPE114,Computer Programming II,Summer,2005,0,0,0,0,0,0,1,0,
CMPE114,Computer Programming II,Fall,2005,25,92,100,0,7,11,3,117,
CMPE114,Computer Programming II,Spring,2006,30,92,99,0,9,11,1,122,
CMPE114,Computer Programming II,Summer,2006,0,0,0,0,0,0,0,0,
CMPE114,Computer Programming II,Fall,2006,29,100,98,0,5,8,2,129,
CMPE114,Computer Programming II,Spring,2007,30,98,97,0,7,12,0,128,
CMPE114,Computer Programming II,Summer,2007,0,0,0,0,0,0,0,0,
CMPE114,Computer Programming II,Fall,2007,30,93,95,0,7,8,1,123,
CMPE114,Computer Programming II,Spring,2008,25,92,100,0,7,12,2,117,
CMPE114,Computer Programming II,Summer,2008,0,0,0,0,0,0,0,0,
CMPE114,Computer Programming II,Fall,2008,29,96,99,0,7,10,3,125,
CMPE114,Computer Programming II,Spring,2009,30,93,100,0,7,12,3,123,
CMPE114,Computer Programming II,Summer,2009,0,0,0,0,0,0,0,0,
CMPE114,Computer Programming II,Fall,2009,26,100,100,0,6,11,2,126,
CMPE114,Computer Programming II,Spring,2010,29,94,99,0,5,10,0,123,
CMPE114,Computer Programming II,Summer,2010,0,0,0,0,0,0,0,0,
CMPE114,Computer Programming II,Fall,2010,25,100,95,0,7,12,1,125,
CMPE114,Computer Programming II,Spring,2011,29,92,99,0,9,8,1,121,
CMPE114,Computer Programming II,Summer,2011,0,0,0,0,0,0,1,0,
CMPE114,Computer Programming II,Fall,2011,27,99,100,0,10,12,1,126,
CMPE114,Computer Programming II,Spring,2012,26,99,97,0,9,12,0,125,
CMPE114,Computer Programming II,Summer,2012,5,31,30,0,9,8,2,36,
CMPE114,Computer Programming II,Fall,2012,25,95,100,0,6,12,3,120,
CMPE114,Computer Programming II,Spring,2013,26,100,99,0,10,8,2,126,
CMPE114,Computer Programming II,Summer,2013,8,28,30,0,8,8,0,36,
CMPE114,Computer Programming II,Fall,2013,30,93,97,0,8,8,1,123,
CMPE114,Computer Programming II,Spring,2014,27,94,95,0,9,8,3,121,
CMPE114,Computer Programming II,Summer,2014,6,28,30,0,8,10,2,34,
